s_no,district,station_name,address,latitude,longitude
491,Rajkot Rural,Bhayavadar,"Bhayavadar Police Station,Station Road, Bhayavadar-360450",21.850242,70.237017
492,Rajkot Rural,Dhoraji,"Dhoraji Police Station , Near Patel Chhatralaya , Dhoraji , Rajkot-360050",21.730032,70.450891
493,Rajkot Rural,Gondal City,"Gondal City Police Station, Bhagvatpara Gondal Dist-Rajkot-360311",21.967955,70.807703
494,Rajkot Rural,Gondal Taluka,"Gondal Taluka Police Station Nr.Santoshi Mata Temple, Jetpur Highway Dist-
Rajkot-360311",21.950126,70.778445
495,Rajkot Rural,Jam Kandorana,"Jamkandorana Police Station,Nr.Taluka Panchayat, Jamkandorana-360405",21.89238,70.495555
496,Rajkot Rural,Jasdan,"Jasdan Police Station,Vajsurpara Jasdan, Dist-Rajkot-360050",22.043872,71.208417
497,Rajkot Rural,Jetpur City,"Jetpur City Police Station Main Bazar, Jetpur,Dist-Rajkot-360370",21.752683,70.616678
498,Rajkot Rural,Jetpur Taluka,"Jetpur Taluka Police Station Junagadh Road Jetpur, Dist-Rajkot-360370",21.752644,70.616673
499,Rajkot Rural,Kotada Sangani,"Kotda Sangani Police Station ,Bhadva Road ,Dist-Rajkot-360030",22.049741,70.869198
500,Rajkot Rural,Lodhika,"Lodhika Police Station Nr.Bus Station,Lodhika-360035",22.134467,70.632833
501,Rajkot Rural,Mahila,"Mahila Police Sta(cid:415)on Kotda Sangani Road,Gondal, Dist-Rajkot-360311",21.977914,70.811635
502,Rajkot Rural,Paddhari,"Padadhari Police Station, Nr.Mamlatdar Office, Padadhari, Dist-Rajkot-360110",22.436105,70.602801
503,Rajkot Rural,Patanvav,"Patanvav,Police Sta(cid:415)on Tal,Upleta Rajkot-360430",21.643408,70.262053
504,Rajkot Rural,Upleta,"Upleta Police Station, Kolki Road, Dist-Rajkot-360490",21.747462,70.27541
505,Rajkot Rural,Vinchhiya,"Vinchhiya Police Sta(cid:415)on Modhuka Road, Dist-Rajkot-360050",22.205614,71.383919
506,Rajkot Rural,Virpur,"Virpur Police Station, Near BSNL Office, Taluka - Jetpur, Rajkot-360380",21.843527,70.694272
507,Rajkot Rural,Shapar Veraval,"Shapar-Veraval Police Station,Shapar, Rajkot-Gondal High Way,Ta.Kotda
Sangani,Dist.Rajkot-360024",22.157114,70.791996
508,Rajkot Rural,Atkot,"Near Bus Stand, Bhavnagar - Rajkot Rd, Atkot, Gujarat",22.011666,71.146102
509,Sabarkantha,Gambhoi,Gambhoi police station Bhiloda Road,23.602207,73.097772
510,Sabarkantha,Himatnagar Rural,"Himatnagar Rural police Station At&post -Savghadh Rto kacheri ni pase ider
baypass Road Himatnagar",23.620642,72.942841
511,Sabarkantha,Himatnagar A Div.,Himatnagar A Div. Police Station Himatnagar,23.59639,72.967044
